smiles,isactive
O=C(NCCc1c[nH]c2ccccc12)C(=O)Nc1ccccc1C(=O)NCCc1c[nH]c2ccccc12,1
CC1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,1
CC(C)C(=O)c1c(C(C)C)nn2ccccc12,0
CC(C)=CCc1cc(C(O)C(=O)O)c(CC=C(C)C)c(O)c1OC1OC(CO)C(O)C(O)C1O,1
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,1
CCc1cccc2c1N(C)Cc1cc(OC(C)=O)c(OC(C)=O)cc1-2,1
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl.O.O,0
COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3o2)cc1O,1
CC(=O)OC1CC(C)=C2C(=O)C=C(C)C2C2OC(=O)C(C)C12,1
CNCC(O)c1ccc(O)cc1,0
COc1ccc2cc(CCC(C)=O)ccc2c1,0
O=C(C=Cc1ccccc1)NCCO,0
CC(=C(CCOC(=O)C(C)C)SSC(CCOC(=O)C(C)C)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,0
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,1
Cc1ccc(C(=O)c2ccc(O)cc2O)cc1,1
CC(C)C(C)C=CC(C)C1CCC2C1(C)CCC1C23C=CC2(CC(O)CCC12C)OO3,0
O=c1ccc2ccccc2o1,1
Cc1ccncc1,0
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,1
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0
CC(C)(N)Cc1ccccc1,0
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1
CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,0
Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1.O=[N+]([O-])O,1
CC12CCC=C(CO)C1=CC(C(C)(C)O)CC2,1
CCc1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,1
CNC(C)(C)Cc1ccccc1.CNC(C)(C)Cc1ccccc1.O=S(=O)(O)O,0
CC1(C)CCC2(C(=O)O)C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,0
CNC(C)CC1CCCCC1,0
Cc1nnsc1C(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2C(F)(F)F)cc1,0
CC1(C)CCC2(CO)C(=O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,1
NCC(=O)NC(CCC(N)=O)C(=O)O,0
NCCc1ccc(O)c(O)c1,0
Cl.O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,0
CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,0
COC(=O)CC(C)(O)CC(=O)OC(C(=O)O)c1cc(CC=C(C)C)c(OC2OC(CO)C(O)C(O)C2O)c(O)c1CC=C(C)C,1
COc1cccc(-c2ccc(NC(=O)C3=C(C(=O)O)CCC3)c(F)c2)c1,1
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0
CNCC(O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O,0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,0
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,0
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1
O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,1
